bank,setting,seq_len,candidate_tm_same_reference,c1_rmsd,c1_lddt,sw_rmsd_9,sw_rmsd_15,bb_dev,clash_per_res,sharp_kinks,rg_err,angle_nll,torsion_nll,pair_like_fraction,best5_tm
J-controlled,Geometry,113.45360824742268,0.28133882474226807,34.977463669193924,0.4303617511217662,6.839629786100582,11.067034187019523,1.6517456497766516,0.041800733526348235,0.07434531863712959,16.795546429211843,0.972843102199883,0.7327948495105363,0.406176717289935,0.40204123711340206
J-controlled,John_fixed,113.45360824742268,0.27666907216494846,34.79353798479002,0.4222747578926859,6.451226861084827,10.662443037625161,1.3213807623405678,0.04976332055659686,0.06025966133065252,16.77339528944088,1.2355483730361387,0.7745016925589636,0.41050558736664466,0.3927335051546391
J-controlled,John_original,113.45360824742268,0.27934249484536083,34.831760332866416,0.42625510288237384,6.5126415279616054,10.725914294867525,1.3901222998337595,0.047974596533134656,0.06217716606569712,16.767192455944773,1.2388463939454926,0.7649171752327469,0.4086608660474401,0.3976257731958763
J-controlled,Raw,113.45360824742268,0.27966445360824743,34.98926664052983,0.4255112023542562,6.879415348142199,11.097023920516595,1.777473243659279,0.04118561720689863,0.07773939216800803,16.80304783276499,1.2972899070701667,0.7112194002982136,0.4062127034183371,0.40134690721649485
J-controlled,Simple,113.45360824742268,0.2803882474226804,34.96730072883147,0.4307546330844648,6.826247368010056,11.051885412632974,1.571607376507004,0.040953157212140344,0.07429304705268085,16.789250386401964,1.2794242218210239,0.7282229378995083,0.40606175458816685,0.39949711340206184
Thesis-3T+2D,Geometry,113.45360824742268,0.3183102886597938,26.82439546688693,0.505464381837951,4.305015479508528,7.171490592337685,1.0852452194646218,0.038537274599542516,0.03707508415108656,10.707588505147545,0.5192307834245424,0.6091471729832665,0.4862470286603242,0.41180742268041237
Thesis-3T+2D,John_fixed,113.45360824742268,0.3146166804123712,26.755206107081637,0.49910466326181974,4.227421543838473,7.0888907264051415,0.9176477208502055,0.04143099662709127,0.05197399930389128,10.660661946843433,0.7475469204813884,0.7017871704560172,0.4962973115275769,0.403500206185567
Thesis-3T+2D,John_original,113.45360824742268,0.31474482474226806,26.78303127762613,0.49837505930942183,4.261849085683694,7.126818050611277,0.9211407512741119,0.04272716006702135,0.0536683429147953,10.682916083123816,0.7577354506939636,0.7368203108245053,0.4935873654030355,0.40676731958762885
Thesis-3T+2D,Raw,113.45360824742268,0.3164332371134021,26.818840282645823,0.4968685305728395,4.338379676708095,7.188763485220647,1.2503297363735828,0.05661320453944011,0.04046614757270738,10.704510832463912,0.7018885473551246,0.6793077593993124,0.4885313390180784,0.4100235051546392
Thesis-3T+2D,Simple,113.45360824742268,0.318134,26.827150697074643,0.5106728849165973,4.325481533784342,7.185798035213434,0.9049330170537276,0.03760212976799184,0.05935566910792934,10.706684257602832,0.7625269909067428,0.7065796229303588,0.4860124579713166,0.40962742268041236
