bank,target_n,mean_best_tm,mean_pairwise_self_tm,near_duplicate_pair_fraction,source_availability
1T+1D,97,0.391900206185567,0.26636103092783503,0.010309278350515464,1.0
2D,97,0.33311103092783506,0.46577752577319587,0.020618556701030927,1.0
2T,97,0.348460618556701,0.5325590721649485,0.12371134020618557,1.0
3T+2D,97,0.4100235051546392,0.3693703762886598,0.053608247422680416,1.0
5T,97,0.37582938144329897,0.5176479536082474,0.14948453608247422,1.0
