variant,mean_best5_tm,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed
J_SS_RAW,0.2979,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
V3_COMPOSITE_IC_LINEAR,0.30815750000000003,0.010257499999999994,0.008594999999999992,0.005848136363636356,0.014697172619047611,10,0,2,12,11,10000,20260821
V3_MMSEQS_IC_LINEAR,0.20849833333333334,-0.08940166666666666,-0.050225000000000006,-0.148358125,-0.0468860681818182,0,0,12,12,11,10000,20260821
V3_MERGED_IC_LINEAR,0.30815750000000003,0.010257499999999994,0.008594999999999992,0.005848136363636356,0.014697172619047611,10,0,2,12,11,10000,20260821
V3_MERGED_ICS_LINEAR,0.30815750000000003,0.010257499999999994,0.008594999999999992,0.005848136363636356,0.014697172619047611,10,0,2,12,11,10000,20260821
V3_EXACT_RAW,0.3091641666666667,0.01126416666666666,0.008594999999999992,0.0069476363636363555,0.01580637121212121,12,0,0,12,11,10000,20260821
V3_MERGED_I_LINEAR,0.29480999999999996,-0.0030900000000000046,0.00563000000000001,-0.0165545909090909,0.00845275568181816,8,0,4,12,11,10000,20260821
V3_COMPOSITE_ICS_LINEAR,0.30815750000000003,0.010257499999999994,0.008594999999999992,0.005848136363636356,0.014697172619047611,10,0,2,12,11,10000,20260821
V3_MERGED_ICS_JOHN_GAP,0.3069191666666667,0.009019166666666663,0.008610000000000007,0.002547215909090908,0.014933892857142852,10,0,2,12,11,10000,20260821
