bank,first,second,metric,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed,positive_favours,sign_flip_two_sided_p
V3_5T,Simple,Raw,sw_rmsd_9,-0.00010394584369588511,-0.000554240347391044,-0.008384124706825086,0.008491119578152989,5,0,7,12,11,10000,20260821,Simple,0.9765625
V3_5T,Simple,Raw,sw_rmsd_15,0.0022209841421343413,0.0024179873043896905,-0.0059671421690452855,0.01016018437950304,7,0,5,12,11,10000,20260821,Simple,0.6025390625
V3_5T,Simple,Raw,c1_rmsd,-0.0037876207833174766,-0.00496899806633877,-0.008857072563435391,0.0018896037508517414,4,0,8,12,11,10000,20260821,Simple,0.283203125
V3_5T,Simple,Raw,c1_lddt,0.013998766117971129,0.01660942057547514,0.009763168039799154,0.017629465475510243,12,0,0,12,11,10000,20260821,Simple,0.0009765625
V3_5T,Simple,Raw,candidate_tm_same_reference,-0.0016053333333333406,-0.0004170000000000146,-0.004109118181818198,0.0005418833333333322,6,0,6,12,11,10000,20260821,Simple,0.2109375
V3_5T,John_adaptive,Raw,sw_rmsd_9,0.1539116110666663,0.16441877759466594,0.1026662313806842,0.21064964816217466,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
V3_5T,John_adaptive,Raw,sw_rmsd_15,0.139683201964673,0.14541313515740129,0.09380370946592591,0.1943274459366203,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
V3_5T,John_adaptive,Raw,c1_rmsd,0.05815487261286704,0.05084495768856456,0.04730731952603399,0.07056171543345645,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
V3_5T,John_adaptive,Raw,c1_lddt,0.009725763424760456,0.009363538882746353,0.006237703201632211,0.013139705085806539,11,0,1,12,11,10000,20260821,John_adaptive,0.0029296875
V3_5T,John_adaptive,Raw,candidate_tm_same_reference,-0.0016080000000000098,-0.0013110000000000066,-0.00600083825757577,0.0017727884615384494,5,0,7,12,11,10000,20260821,John_adaptive,0.4404296875
V3_5T,John_fixed,Raw,sw_rmsd_9,0.1609970890956821,0.17294772893316912,0.10696588946236711,0.21946205963610757,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
V3_5T,John_fixed,Raw,sw_rmsd_15,0.14926701187214664,0.15428573921483313,0.1008367729934152,0.2059108937079915,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
V3_5T,John_fixed,Raw,c1_rmsd,0.06568809051436404,0.05357118009229289,0.05284124535880882,0.07859019748042512,12,0,0,12,11,10000,20260821,John_fixed,0.0009765625
V3_5T,John_fixed,Raw,c1_lddt,0.00912444230018806,0.008948547757099967,0.0046991872087072456,0.013222723390767582,10,0,2,12,11,10000,20260821,John_fixed,0.0068359375
