pipeline,mean_best5_tm,baseline,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed,sign_flip_two_sided_p
V3_hybrid_raw,0.46438416666666665,J_same_sandbox_complete,0.17330333333333336,0.105405,0.07845112202380954,0.31595147159090897,12,0,0,12,11,10000,20260821,0.0009765625
V5_V3bank_hybrid_geometry,0.46426666666666666,J_same_sandbox_complete,0.1731858333333333,0.10218999999999998,0.07797195192307692,0.3165502727272727,12,0,0,12,11,10000,20260821,0.0009765625
V3_hybrid_historical_geometry,0.46426666666666666,J_same_sandbox_complete,0.1731858333333333,0.10218999999999998,0.07797195192307692,0.3165502727272727,12,0,0,12,11,10000,20260821,0.0009765625
V5_V3bank_hybrid_simple,0.4632483333333333,J_same_sandbox_complete,0.1721675,0.10012500000000002,0.07687692307692309,0.3151558409090907,12,0,0,12,11,10000,20260821,0.0009765625
V5_Johnbank_hybrid_geometry,0.4628816666666666,J_same_sandbox_complete,0.17180083333333332,0.10218999999999998,0.07589170673076924,0.3157698636363636,12,0,0,12,11,10000,20260821,0.0009765625
V5_Johnbank_hybrid_simple,0.46167583333333334,J_same_sandbox_complete,0.17059500000000002,0.09368500000000002,0.0749646153846154,0.3146395681818182,11,0,1,12,11,10000,20260821,0.001953125
V3_TBM_raw,0.3091641666666667,J_same_sandbox_complete,0.018083333333333333,0.015034999999999993,0.006414852272727277,0.03291322159090909,10,0,2,12,11,10000,20260821,0.0126953125
V3_TBM_deployed_gradient,0.30722,J_same_sandbox_complete,0.01613916666666667,0.008819999999999967,0.008999170238095234,0.02487995454545455,12,0,0,12,11,10000,20260821,0.0009765625
J_same_sandbox_complete,0.29108083333333334,J_same_sandbox_complete,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821,1.0
