bank,setting,length,candidate_index,raw_reference_index,raw_candidate_tm,candidate_tm_same_reference,c1_rmsd,c1_lddt,c1_lddt_pair,c1_lddt_pairs,sw_rmsd_9,sw_rmsd_15,clash_per_res,bb_dev,rg_err,sharp_kinks,angle_nll,torsion_nll,pair_like_fraction,best5_tm
J_3T2D,Geometry_historical,209.58333333333334,2.0,3.0500000000000003,0.30363199999999996,0.3028645,35.005575925261596,0.46931985740629156,0.45689108426004427,1221.5833333333333,5.5827809246819635,9.26445883769172,0.031126285600548437,1.3673424448515386,12.871740119484956,0.060209204447504695,0.7536323637443053,0.7004461843457458,0.5674456821600056,0.46288166666666664
J_3T2D,John_adaptive,209.58333333333334,2.0,3.0500000000000003,0.30363199999999996,0.29536766666666664,34.91154283787165,0.452821755520001,0.44031641031478147,1221.5833333333333,5.339571966855703,9.010816370913984,0.040515297429929424,1.1363654141305093,12.8864126298068,0.05291229196189606,0.9690891822277606,0.7813516548574205,0.5758349437666896,0.45584583333333334
J_3T2D,John_fixed,209.58333333333334,2.0,3.0500000000000003,0.30363199999999996,0.295129,34.89653196315851,0.4597563256459866,0.4474946178703698,1221.5833333333333,5.304727833149344,8.971809873132004,0.038458197911721274,1.1679937185925138,12.893454031960223,0.05211025826617696,0.9489973576613581,0.7624199897127241,0.5768538546445483,0.4563808333333333
J_3T2D,Raw,209.58333333333334,2.0,3.0500000000000003,0.30363199999999996,0.30363199999999996,35.01924287429878,0.4620663091686647,0.45001853692224253,1221.5833333333333,5.62661628681571,9.295705360854406,0.029247550328340453,1.5269950350379415,12.894423783794648,0.06376394893933744,0.9781369113334216,0.71690095538547,0.5681935980063095,0.4630725
J_3T2D,Simple,209.58333333333334,2.0,3.0500000000000003,0.30363199999999996,0.303734,35.013054490782615,0.4689288361949051,0.456438279527459,1221.5833333333333,5.591575906476005,9.270304593886232,0.030979839096569723,1.3631764294156827,12.891237241999596,0.061056011638452305,0.9799478520428005,0.7360383447206774,0.5700636923202559,0.46167583333333334
J_5T,Geometry_historical,209.58333333333334,2.0,2.6333333333333333,0.2214505,0.22009633333333334,47.49955082877565,0.3351026770471462,0.3197792803898256,1222.2,7.56847962786896,12.769332264460528,0.03806083774427964,1.7315628513058572,19.501023202203623,0.07750994364384048,0.970325394925008,0.7677015087212005,0.46211440622416006,0.29333916666666665
J_5T,John_adaptive,209.58333333333334,2.0,2.6333333333333333,0.2214505,0.214506,47.371305248057844,0.32984194701650293,0.3146613007334552,1222.2,7.112939409102403,12.29587518416698,0.04856323799959234,1.4358159187280328,19.51210241600576,0.06374764284273003,1.2435834693060357,0.8108084674151456,0.4697547760209262,0.2930475
J_5T,John_fixed,209.58333333333334,2.0,2.6333333333333333,0.2214505,0.21333433333333332,47.36093036014984,0.328516913934966,0.3134746663145242,1222.2,7.0939368679445245,12.27666773806834,0.04979180030987718,1.4208027197351634,19.51703821445637,0.06351596953539528,1.2413711413377915,0.8103711877075073,0.46957398906506126,0.2880466666666667
J_5T,Raw,209.58333333333334,2.0,2.6333333333333333,0.2214505,0.2214505,47.52281211016568,0.32930327091915684,0.31426575289876246,1222.2,7.624229962008063,12.813369677771648,0.03679637355002701,1.8838128779600085,19.52542249890353,0.08184722851903578,1.298878459483352,0.7522083910847613,0.4610707957681391,0.2979
J_5T,Simple,209.58333333333334,2.0,2.6333333333333333,0.2214505,0.22152033333333335,47.51070908440794,0.33465670831472877,0.3193125446558908,1222.2,7.577377433722116,12.775907055604845,0.037238043314144875,1.7341735571559667,19.517559553590573,0.0789402078498615,1.2885524260776957,0.7639046763568,0.4638346920122514,0.29438000000000003
V3_3T2D,Geometry_historical,209.58333333333334,2.0,2.25,0.3147088333333333,0.3138803333333334,31.94498074553128,0.46549301060464265,0.4534533910511145,1223.1333333333334,4.103914397008672,7.009332995876996,0.048773609414838555,1.0727774524117295,9.899192341245934,0.04290652420003843,0.5587792477598349,0.6816810079383879,0.5740010442131536,0.46426666666666666
V3_3T2D,John_adaptive,209.58333333333334,2.0,2.25,0.3147088333333333,0.31234466666666666,31.910559379075494,0.4530069240903855,0.4403823181127662,1223.1333333333334,4.055141385775089,6.955401294074998,0.0646513387979803,0.9083938463460691,9.881669510736605,0.06887317783840842,0.7732298924415523,0.7969890450509963,0.5790838123272393,0.45926
V3_3T2D,John_fixed,209.58333333333334,2.0,2.25,0.3147088333333333,0.3113011666666667,31.900538152319445,0.4611500259358506,0.4484449979968022,1223.1333333333334,4.031833517648923,6.926926737742054,0.06356720821796827,0.9176771500520773,9.875564829231198,0.070894474392757,0.7722670214664289,0.7828719516453839,0.5827633944194678,0.45916666666666667
V3_3T2D,Raw,209.58333333333334,2.0,2.25,0.3147088333333333,0.3147088333333333,31.95390705958309,0.45702112181163507,0.4454425907085395,1223.1333333333334,4.148418941147578,7.0324332177920255,0.09613193443498425,1.2865389925304624,9.921564760587431,0.0470516246538468,0.6907861823597791,0.7387325592677046,0.570141689326309,0.46438416666666665
V3_3T2D,Simple,209.58333333333334,2.0,2.25,0.3147088333333333,0.31444849999999996,31.95240474981542,0.4692073280067046,0.4567387578834001,1223.1333333333334,4.139421248770086,7.027153385565366,0.061039492766254554,0.9707973915206204,9.926931685949475,0.08037337194637116,0.7995582296986915,0.7835484269937165,0.5748951344918992,0.4632483333333333
V3_5T,Geometry_historical,209.58333333333334,2.0,1.9333333333333336,0.23676716666666667,0.23496133333333333,41.94818466259187,0.3318274387571242,0.31664567796227683,1223.6666666666667,5.113032746066266,8.98405574981269,0.0735993574459322,1.2157108902997278,14.652472451595216,0.048115917240801574,0.6523869164244628,0.7381913976381158,0.4689115922833569,0.3099691666666667
V3_5T,John_adaptive,209.58333333333334,2.0,1.9333333333333336,0.23676716666666667,0.23515916666666667,41.91151166210559,0.33318148489922134,0.3175323292056329,1223.6666666666667,5.011053140671407,8.870179524261824,0.09924930123864062,1.025820552021797,14.631181311131177,0.09440938774534335,0.9705824578912292,0.8440961125893112,0.4734158412904717,0.3097316666666667
V3_5T,John_fixed,209.58333333333334,2.0,1.9333333333333336,0.23676716666666667,0.23309500000000002,41.90397844420409,0.33258016377464894,0.31680336937705167,1223.6666666666667,5.003967662642391,8.86059571435435,0.09992797786296204,0.9962842943115319,14.622724469287085,0.09616007270218561,0.9854879657050922,0.8494771761681678,0.47682960659563056,0.3063683333333333
V3_5T,Raw,209.58333333333334,2.0,1.9333333333333336,0.23676716666666667,0.23676716666666667,41.96966653471845,0.3234557214744609,0.30869877685416447,1223.6666666666667,5.164964751738073,9.009862726226496,0.16351074452820982,1.457938708156225,14.685559148566362,0.05364970945102283,0.8615313215461299,0.7875343506310069,0.460411301521668,0.3091641666666667
V3_5T,Simple,209.58333333333334,2.0,1.9333333333333336,0.23676716666666667,0.23516183333333332,41.97345415550177,0.33745448759243196,0.32167284697704884,1223.6666666666667,5.165068697581769,9.007641742084362,0.09831246637405623,1.0573356004441758,14.693526709174526,0.1106283699356187,1.0373893430709344,0.8439462015304393,0.47041091020801135,0.30894416666666663
